Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C57, C58, C59, C6, C60",0201,8,1uF,
"C10, C9",0201,2,10pF,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20",0201,10,100nF,
"C2, C4",0201,2,4.7uF,
"C7, C8",0201,2,22pF,
"D1, D2, D3, D4, D5, D6",0201,6,LED,
"D10, D11, D12, D13, D14, D16, D17, D18, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,9,WS2812B-2020,
"J1_2, J1",HRO_TYPE-C-31-M-12,2,TYPE-C-31-M-12,
"Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,6,BSS138,
"R1, R11, R12, R2",0201,4,1.5k,
"R10, R4, R5, R8",0201,4,1.18k,
"R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R9",0201,25,10K,
"R6, R7",0201,2,5.1k,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
"TP1, TP3",TestPoint_Pad_D1.5mm,2,Battery+,
TP10,TestPoint_Pad_D1.0mm,1,DTR,
TP11,TestPoint_Pad_D1.0mm,1,5V,
TP12,TestPoint_Pad_D1.0mm,1,RESET_2,
TP13,TestPoint_Pad_D1.0mm,1,DOUT_MCU,
"TP14, TP16, TP17",TestPoint_Pad_D1.0mm,3,TestPoint,
TP18,TestPoint_Pad_D1.0mm,1,DIN_LED,
TP19,TestPoint_Pad_D1.0mm,1,VCC_LED,
"TP2, TP4",TestPoint_Pad_2.0x2.0mm,2,GND,
TP20,TestPoint_Pad_D1.0mm,1,VCC_O_LED,
TP23,TestPoint_Pad_D1.0mm,1,RESET_1,
TP5,TestPoint_Pad_D1.0mm,1,MOSI,
TP6,TestPoint_Pad_D1.0mm,1,MISO,
TP7,TestPoint_Pad_D1.0mm,1,SCK,
TP8,TestPoint_Pad_D1.0mm,1,TX,
TP9,TestPoint_Pad_D1.0mm,1,RX,
"U1, U2",QFN50P300X300X100-17N,2,BQ24075RGTR,
"U12, U13",21-0555B_W80B1-1_MXM,2,MAX17048X+T10,
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATmega328P-M,
U4,SOT-23,1,XC6206P332MR-G-SOT23,XC6206P332MR-G
Y1,OSC_X322516MLB4SI,1,X322516MLB4SI,
