Designator,Mid X,Mid Y,Rotation,Layer
C1,68.4,-114.203939,270.0,top
C10,82.2,-112.203939,90.0,top
C11,88.15,-112.208939,315.0,top
C12,86.205,-135.005,0.0,top
C13,83.65,-135.005,180.0,top
C14,81.05,-135.005,0.0,top
C15,78.45,-135.005,180.0,top
C16,75.895,-135.005,0.0,top
C17,73.25,-135.005,180.0,top
C18,70.605,-135.005,0.0,top
C19,91.405,-135.005,0.0,top
C2,69.7,-112.058939,180.0,top
C20,88.85,-135.005,180.0,top
C3,91.6,-123.613939,90.0,top
C4,90.145,-125.658939,0.0,top
C5,89.43,-113.458939,180.0,top
C57,70.48,-117.158939,180.0,top
C58,69.2,-122.658939,0.0,top
C59,89.5,-115.958939,270.0,top
C6,92.4,-114.714987,315.0,top
C60,89.6,-120.658939,0.0,top
C7,77.1,-114.638939,270.0,top
C8,78.0,-114.658939,90.0,top
C9,87.4,-118.258939,45.0,top
D1,74.58,-115.458939,0.0,top
D10,74.9,-133.09,270.0,top
D11,87.85,-133.105,90.0,top
D12,90.45,-133.09,270.0,top
D13,80.1,-133.075,270.0,top
D14,77.5,-133.09,90.0,top
D16,69.7,-133.09,270.0,top
D17,82.7,-133.075,90.0,top
D18,85.25,-133.075,270.0,top
D2,72.945,-112.058939,180.0,top
D3,85.5,-121.858939,90.0,top
D4,86.845,-125.658939,0.0,top
D5,67.8,-124.858939,315.0,top
D6,67.456048,-122.914987,135.0,top
D9,72.3,-133.09,90.0,top
J1_2,80.0,-124.458939,0.0,top
J1,80.0,-141.55,0.0,top
Q3,93.591161,-115.893603,135.0,top
Q4,94.3,-119.358939,180.0,top
Q5,65.6,-118.308939,0.0,top
Q6,66.265336,-121.767778,315.0,top
Q7,75.8375,-113.308939,180.0,top
Q8,71.2,-124.208939,0.0,top
R1,74.58,-116.358939,180.0,top
R10,91.78,-122.458939,0.0,top
R11,86.1,-119.803939,270.0,top
R12,88.29,-125.658939,0.0,top
R2,71.355,-112.058939,180.0,top
R22,91.08,-116.858939,180.0,top
R23,95.7,-117.938939,270.0,top
R24,94.873726,-121.832665,135.0,top
R25,95.6,-120.658939,270.0,top
R26,65.1,-115.758939,315.0,top
R27,64.3,-117.058939,90.0,top
R28,69.38,-121.558939,0.0,top
R29,64.2,-119.738939,90.0,top
R3,69.08,-116.058939,180.0,top
R30,68.3,-119.958939,180.0,top
R31,91.62,-117.658939,0.0,top
R32,82.9,-118.258939,0.0,top
R33,69.8,-120.058939,315.0,top
R34,68.145,-116.758939,0.0,top
R35,68.8,-120.758939,180.0,top
R36,91.9,-120.958939,0.0,top
R37,90.58,-116.058939,0.0,top
R38,90.056048,-117.514987,135.0,top
R39,67.1,-124.058939,45.0,top
R4,69.08,-113.058939,180.0,top
R40,68.6,-123.958939,90.0,top
R41,73.475,-113.308939,270.0,top
R42,77.52,-112.258939,0.0,top
R43,86.445,-124.413939,90.0,top
R44,69.255,-125.258939,180.0,top
R5,68.08,-115.358939,180.0,top
R6,85.6,-124.908939,270.0,top
R7,74.4,-124.978939,270.0,top
R8,90.82,-124.758939,0.0,top
R9,91.055,-121.658939,0.0,top
SW1,70.35,-138.82,0.0,top
TP1,71.0,-118.808939,0.0,top
TP10,81.2,-117.758939,0.0,top
TP11,76.3,-116.058939,0.0,top
TP12,78.0,-141.45,0.0,bottom
TP13,81.0,-114.358939,0.0,bottom
TP14,79.4,-116.658939,0.0,top
TP16,87.2,-120.058939,0.0,top
TP17,77.6,-117.658939,0.0,top
TP18,79.0,-131.45,0.0,bottom
TP19,82.0,-141.45,0.0,bottom
TP2,66.7,-114.658939,45.0,top
TP20,78.0,-124.358939,0.0,bottom
TP23,82.0,-124.358939,0.0,bottom
TP3,89.0,-118.808939,0.0,top
TP4,93.3,-122.958939,45.0,top
TP5,73.1,-117.758939,0.0,top
TP6,73.9,-119.658939,0.0,top
TP7,75.2,-117.858939,0.0,top
TP8,73.1,-121.658939,0.0,top
TP9,71.1,-121.358939,0.0,top
U1,71.0,-114.638939,90.0,top
U12,68.499999,-118.358939,270.0,top
U13,91.399999,-119.358939,90.0,top
U2,89.065,-123.158939,270.0,top
U3,85.5,-115.187259,45.0,top
U4,91.0,-113.458939,90.0,top
Y1,80.0625,-113.558939,0.0,top
