Designator,Footprint,Quantity,Value,LCSC Part #
A1,BGA6N40P3X2_120X80X59,1,BMA530,
"C1, C5",0201,2,1uF,
C2,0402,1,10uF,
C3,0201,1,4.7uF,
C4,0201,1,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",0201,16,LED,
"MOUSE-BITE-1MM-3MM_4, MOUSE-BITE-1MM-3MM_3, MOUSE-BITE-1MM-3MM_2, MOUSE-BITE-1MM-3MM",mouse-bite-1mm-3mm,4,VAL**,
"R1, R2",0201,2,4.7k,
TP1,TestPoint_Pad_D1.0mm,1,SWDIO,
"TP10, TP18",TestPoint_Pad_D1.0mm,2,P0.5,
TP11,TestPoint_Pad_D1.0mm,1,GND,
"TP12, TP23",TestPoint_Pad_D1.0mm,2,P0.9,
"TP13, TP6",TestPoint_Pad_D1.0mm,2,P0.8,
"TP14, TP21",TestPoint_Pad_D1.0mm,2,P0.11,
"TP15, TP7",TestPoint_Pad_D1.0mm,2,P0.10,
"TP16, TP8",TestPoint_Pad_D1.0mm,2,P0.7,
"TP17, TP9",TestPoint_Pad_D1.0mm,2,P0.6,
"TP19, TP20",TestPoint_Pad_D1.0mm,2,P0.12,
TP2,TestPoint_Pad_D1.0mm,1,SWDCLK,
TP22,TestPoint_Pad_D1.0mm,1,GND1,
TP3,TestPoint_Pad_D1.0mm,1,BAT+,
TP4,TestPoint_Pad_D1.0mm,1,BAT-,
TP5,TestPoint_Pad_D1.0mm,1,VIO,
U1,21-100264_90-100089_MXM,1,MAX32660GTG+T,
U2,CONV_XCL206B333CR-G,1,XCL202B331ER-G,
