Designator,Mid X,Mid Y,Rotation,Layer
A1,118.398579,-125.395736,45.0,top
C1,123.1,-124.16,0.0,top
C2,123.369998,-123.319816,0.0,top
C3,124.97,-123.51,270.0,top
C4,118.076274,-124.193952,225.0,top
C5,121.74,-124.72,0.0,top
D1,131.623726,-120.246101,45.0,top
D10,135.223726,-122.031923,45.0,top
D11,135.223726,-123.858197,45.0,top
D12,135.241404,-125.658197,45.0,top
D13,137.041404,-120.281923,45.0,top
D14,137.041404,-122.037971,45.0,top
D15,137.041404,-123.864245,45.0,top
D16,137.059082,-125.664245,45.0,top
D2,131.623726,-122.002149,45.0,top
D3,131.623726,-123.828423,45.0,top
D4,131.641404,-125.628423,45.0,top
D5,133.423726,-120.222375,45.0,top
D6,133.406048,-122.002149,45.0,top
D7,133.423726,-123.804697,45.0,top
D8,133.423726,-125.628423,45.0,top
D9,135.223726,-120.275875,45.0,top
MOUSE-BITE-1MM-3MM_4,134.349998,-127.419816,0.0,top
MOUSE-BITE-1MM-3MM_3,121.339998,-118.419816,0.0,top
MOUSE-BITE-1MM-3MM_2,134.349998,-118.419816,0.0,top
MOUSE-BITE-1MM-3MM,121.349998,-127.419816,0.0,top
R1,119.313952,-124.336048,45.0,top
R2,119.92,-124.72,45.0,top
U1,119.92,-121.6,270.0,top
U2,123.5925,-121.16,0.0,top
